Dataset,Rep,Depth,Tool,LengthBin,Truth,TP,Recall
human_U_10000,rep3,sequencing_10X,eccDNA_RCA,<1kb,5842,4252,0.7278
human_U_10000,rep3,sequencing_10X,eccDNA_RCA,1-5kb,3562,2995,0.8408
human_U_10000,rep3,sequencing_10X,eccDNA_RCA,5-50kb,354,82,0.2316
human_U_10000,rep3,sequencing_10X,eccDNA_RCA,>50kb,242,0,0.0
human_U_10000,rep3,sequencing_10X,ecc_finder,<1kb,5842,30,0.0051
human_U_10000,rep3,sequencing_10X,ecc_finder,1-5kb,3562,599,0.1682
human_U_10000,rep3,sequencing_10X,ecc_finder,5-50kb,354,77,0.2175
human_U_10000,rep3,sequencing_10X,ecc_finder,>50kb,242,76,0.314
human_U_10000,rep1,sequencing_30X,CircleMap,<1kb,5804,4088,0.7043
human_U_10000,rep1,sequencing_30X,CircleMap,1-5kb,3558,3265,0.9177
human_U_10000,rep1,sequencing_30X,CircleMap,5-50kb,361,320,0.8864
human_U_10000,rep1,sequencing_30X,CircleMap,>50kb,277,234,0.8448
human_U_10000,rep1,sequencing_30X,CircleSeeker,<1kb,5804,5734,0.9879
human_U_10000,rep1,sequencing_30X,CircleSeeker,1-5kb,3558,3540,0.9949
human_U_10000,rep1,sequencing_30X,CircleSeeker,5-50kb,361,338,0.9363
human_U_10000,rep1,sequencing_30X,CircleSeeker,>50kb,277,244,0.8809
human_U_10000,rep1,sequencing_30X,CReSIL,<1kb,5804,4402,0.7584
human_U_10000,rep1,sequencing_30X,CReSIL,1-5kb,3558,3184,0.8949
human_U_10000,rep1,sequencing_30X,CReSIL,5-50kb,361,324,0.8975
human_U_10000,rep1,sequencing_30X,CReSIL,>50kb,277,234,0.8448
human_U_10000,rep1,sequencing_30X,CReSIL_HiFi,<1kb,5804,5176,0.8918
human_U_10000,rep1,sequencing_30X,CReSIL_HiFi,1-5kb,3558,3246,0.9123
human_U_10000,rep1,sequencing_30X,CReSIL_HiFi,5-50kb,361,325,0.9003
human_U_10000,rep1,sequencing_30X,CReSIL_HiFi,>50kb,277,245,0.8845
human_U_10000,rep1,sequencing_30X,eccDNA_RCA,<1kb,5804,4973,0.8568
human_U_10000,rep1,sequencing_30X,eccDNA_RCA,1-5kb,3558,3421,0.9615
human_U_10000,rep1,sequencing_30X,eccDNA_RCA,5-50kb,361,149,0.4127
human_U_10000,rep1,sequencing_30X,eccDNA_RCA,>50kb,277,0,0.0
human_U_10000,rep1,sequencing_30X,ecc_finder,<1kb,5804,1832,0.3156
human_U_10000,rep1,sequencing_30X,ecc_finder,1-5kb,3558,1444,0.4058
human_U_10000,rep1,sequencing_30X,ecc_finder,5-50kb,361,132,0.3657
